Zotu4	gi|2088251699|ref|NC_057168.1|	35677	Pelagomonas calceolata	Pelagomonas calceolata	Eukaryota	100.000	313	313	39376	0	0	0	1	313	432	744	Pelagomonas calceolata strain CCMP1756 mitochondrion, complete genome	1.03e-160	579	100	100
Zotu9	gi|1609443471|gb|MK086002.1|	2565276	Chloroparvula sp. RCC999	Chloroparvula sp. RCC999	Eukaryota	99.042	313	313	35287	3	0	0	1	313	23653	23965	Chloroparvula sp. RCC999 mitochondrion, complete genome	1.04e-155	562	100	100
Zotu9	gi|1609443361|gb|MK085999.1|	2565275	Chloroparvula sp. RCC696	Chloroparvula sp. RCC696	Eukaryota	98.403	313	313	35646	5	0	0	1	313	23886	24198	Chloroparvula sp. RCC696 mitochondrion, complete genome	2.25e-152	551	100	100
Zotu9	gi|1609443761|gb|MK086010.1|	2565274	Chloroparvula sp. RCC4572	Chloroparvula sp. RCC4572	Eukaryota	97.764	313	313	35718	7	0	0	1	313	23941	24253	Chloroparvula sp. RCC4572 mitochondrion, complete genome	4.88e-149	540	100	100
Zotu12	gi|226431177|gb|FJ859351.1|	296587	Micromonas commoda	Micromonas commoda	Eukaryota	99.042	313	313	47425	3	0	0	1	313	2928	3240	Micromonas sp. RCC299 mitochondrion, complete genome	1.04e-155	562	100	100
Zotu12	gi|226431177|gb|FJ859351.1|	296587	Micromonas commoda	Micromonas commoda	Eukaryota	99.042	313	313	47425	3	0	0	1	313	33378	33066	Micromonas sp. RCC299 mitochondrion, complete genome	1.04e-155	562	100	100
Zotu17	gi|193084610|gb|EU795181.1|	542485	uncultured bacterium HF0070_02E07	uncultured bacterium HF0070_02E07	Bacteria	100.000	313	313	32590	0	0	0	1	313	24955	24643	Uncultured bacterium HF0070_02E07 genomic sequence	1.03e-160	579	100	100
Zotu27	gi|2088251699|ref|NC_057168.1|	35677	Pelagomonas calceolata	Pelagomonas calceolata	Eukaryota	99.681	313	313	39376	1	0	0	1	313	432	744	Pelagomonas calceolata strain CCMP1756 mitochondrion, complete genome	4.81e-159	573	100	100
Zotu30	gi|1693285113|ref|NC_042598.1|	1764286	Chloropicon sieburthii	Chloropicon sieburthii	Eukaryota	100.000	313	313	37591	0	0	0	1	313	30092	30404	Chloropicon sieburthii culture RCC:287 mitochondrion, complete genome	1.03e-160	579	100	100
Zotu30	gi|1609443509|gb|MK086003.1|	1764286	Chloropicon sieburthii	Chloropicon sieburthii	Eukaryota	100.000	313	313	37591	0	0	0	1	313	30092	30404	Chloropicon sieburthii mitochondrion, complete genome	1.03e-160	579	100	100
Zotu56	gi|1778432048|gb|MN690335.1|	51062	Porites lutea	Porites lutea	Eukaryota	100.000	313	313	686	0	0	0	1	313	359	671	Porites lutea isolate IP0001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	1.03e-160	579	100	100
Zotu56	gi|1777188723|gb|MN602016.1|	2665905	Porites cf. compressa P4H	Porites cf. compressa P4H	Eukaryota	100.000	313	313	660	0	0	0	1	313	344	656	Porites cf. compressa P4H cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	1.03e-160	579	100	100
Zotu56	gi|1777188721|gb|MN602015.1|	2665904	Porites cf. compressa P3H	Porites cf. compressa P3H	Eukaryota	100.000	313	313	613	0	0	0	1	313	295	607	Porites cf. compressa P3H cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	1.03e-160	579	100	100
Zotu56	gi|1020876200|gb|KU761954.1|	104759	Porites lobata	Porites lobata	Eukaryota	100.000	313	313	18647	0	0	0	1	313	13850	14162	Porites lobata isolate PlobGP2 mitochondrion, complete genome	1.03e-160	579	100	100
Zotu56	gi|1034550765|emb|LT558154.1|	104759	Porites lobata	Porites lobata	Eukaryota	100.000	313	313	660	0	0	0	1	313	342	654	Porites lobata mitochondrial partial COI gene for cytochrome oxidase subunit 1, strain 1011	1.03e-160	579	100	100
